parent,sample_id,relative_path,split,supervisory_row_count,unresolved_row_count,sha256
6月5日08_00_6月5日19_00,zero_boundary_033,train/zero_boundary_033.csv,train,1194,0,f58933afc6ad6e2c6379f5a59f26cce9850ca9d9566e8a09256f235cb5c003e4
6月7日00_00_6月7日24_00,zero_boundary_034,train/zero_boundary_034.csv,train,1647,0,37e1bf5aef1cc8e0c7add8049b3ea8c8c7bfafe45f06b66b3fdde6d2941f9ba7
6月11日08_00_6月11日11_00,zero_boundary_035,test/zero_boundary_035.csv,test,310,0,d7ad9011613b447f07bed0b6e2b45dedca32079a6d0a07f124488561942c4f1b
6月12日14_00_6月12日17_00,zero_boundary_036,validation/zero_boundary_036.csv,validation,222,0,3e0117abea6882562e1e5e62d883050c4a94d3137dd37cbaa8e34fa0bc686f3f
6月14日08_00_6月15日18_00,zero_boundary_037,train/zero_boundary_037.csv,train,3843,0,7f1ed69c098af87ebe8ab875a571dc156b82e64fe12dd2fb536196c92ac56d7b
6月17日09_00_6月17日16_00,zero_boundary_038,train/zero_boundary_038.csv,train,703,0,39a158f966ef33983a6ebfd7f2fec916ab1af7e56c3da7ed41a896aab7cd276b
6月26日08_00_6月26日13_00,zero_boundary_040,train/zero_boundary_040.csv,train,518,0,f67997791990c140bb4e5cdc704600accd95b4c4e03c12ec18e081015c43976f
6月28日08_00_6月28日15_00,zero_boundary_041,train/zero_boundary_041.csv,train,655,0,f0df89339b5f3bc8391e2b55f84f174822e42998c5f41eaf39d6405eb4dfb436
6月30日05_00_6月30日11_00,zero_boundary_042,train/zero_boundary_042.csv,train,624,0,9f580c3f291ba5388a2e14ff05aebeb30081af46c6379a1e7bca3c06b2966ddf
7月2日14_00_7月2日18_00,zero_boundary_043,validation/zero_boundary_043.csv,validation,392,0,14b5adf38a576e5c4aab55c65b3fc4076a4984bdbbf4386556a18d54d593a1df
7月3日08_00_7月3日16_00,zero_boundary_044,train/zero_boundary_044.csv,train,816,0,9d9b2606af9d215981deeda9e036e024e81c1cd2d3bcd1c83c18e58badd3ce2e
7月10日08_00_7月10日18_00,zero_boundary_045,train/zero_boundary_045.csv,train,1089,0,ee29a2cf0dccfc3b015e1cad1abbbb9c44f5c24270e91ba7d4e0479b1b14cc14
7月11日06_00_7月12日10_00,zero_boundary_046,train/zero_boundary_046.csv,train,3244,0,4f725112bf7787e46305ad61ea4ff373685d4f75f8e7bb153cbe50281f48d738
7月15日14_00_7月15日16_00,zero_boundary_047,validation/zero_boundary_047.csv,validation,196,0,485af71ed2bce5a5ef1062ab236099a6e1ae2b2469fd60036c246d724b5c1fd7
7月18日08_00_7月18日12_00,zero_boundary_048,train/zero_boundary_048.csv,train,286,0,886ac3e34d80342e92834d747e5898425f6b70521194eb32eded9655576d58d7
7月23日12_00_7月23日15_00,zero_boundary_049,train/zero_boundary_049.csv,train,269,0,25656a9418af6a52bbd12b9e1d57bdea662882c0d0a7a82e753304c7997ac0b2
7月25日08_00_7月25日17_00,zero_boundary_050,train/zero_boundary_050.csv,train,1023,0,1bdcf9e3bd20d3a12a2c117aa0d1c9f294817b2dabf5ff8197fb74a5d204d1d4
7月26日11_00_7月26日13_00,zero_boundary_051,train/zero_boundary_051.csv,train,145,0,56bcf134b678860598ecaa9f74fe2df8909fd5187b9b15726e749ddb1fc24f0a
7月29日14_00_7月29日17_00,zero_boundary_052,train/zero_boundary_052.csv,train,237,0,dadfebaba50c5c377523dba7219176959ea1dd7a3e54bb090b0e7395f252d357
7月31日08_00_7月31日11_00,zero_boundary_053,train/zero_boundary_053.csv,train,255,0,15ff762fa49cb6717fff08fcaf2da970a95e7cc6361da06e56eb0b9f4698c370
