parent,sample_id,split,source_relative_path,source_sha256,point_count,duration_s,minimum_kw,maximum_kw,mean_kw,y_min_kw,y_max_kw,image_relative_path
5月10日08_00_5月10日10_00,zero_boundary_020,train,train/zero_boundary_020.csv,0bc11ff9d8ed202552921c87c81807f83e589f6197ffce5aa498b83b38b6998e,3559,3558.0,0.0,390.6438,205.19208012136355,-19.53219,410.17599,train/zero_boundary_020.png
5月11日08_00_5月11日11_00,zero_boundary_021,train,train/zero_boundary_021.csv,3ace321c01bf6add94f8bffa55f635b9ce0811e18fbf1574a661ac1daec128b2,6997,6996.0,0.0,522.3933999999999,281.9050903095748,-26.11967,548.51307,train/zero_boundary_021.png
5月13日08_00_5月13日11_00,zero_boundary_022,train,train/zero_boundary_022.csv,a36215e56aff729f381e44225a253ef7d796684502c79e847021d3a0562eb71a,5491,5490.0,0.0,534.6743,224.47515423214284,-26.733715000000004,561.408015,train/zero_boundary_022.png
5月27日08_00_5月27日19_00,zero_boundary_029,train,train/zero_boundary_029.csv,936bf4264781fc3f83c12769f24a325fe3f6366d07d0aea0060473bd8fc32208,35612,35611.0,-64.97710000000001,649.1603,94.26654503737554,-100.68397000000002,684.86717,train/zero_boundary_029.png
6月5日08_00_6月5日19_00,zero_boundary_033,train,train/zero_boundary_033.csv,f3d44ba128ea425e8f2367d7a4ff78f05c6def0b2134cb7103723cb7291e6160,35821,35820.0,-0.119457,555.357,102.01968270724231,-27.893279850000003,583.13082285,train/zero_boundary_033.png
6月7日00_00_6月7日24_00,zero_boundary_034,train,train/zero_boundary_034.csv,d5e09dec053e6d298759d5e1d13f6b5c574f83d8182073105cb83d3674260ccd,49424,49423.0,-0.121559,346.080199,26.402652215472823,-17.4316469,363.3902869,train/zero_boundary_034.png
6月14日08_00_6月15日18_00,zero_boundary_037,train,train/zero_boundary_037.csv,f8dddf12473d1bab2827aef94c9ad87ccfa9aef61fb2b7af7940bc64301e6d0d,115296,115295.0,-110.106457,656.3025,15.066779403813591,-148.42690485,694.6229478500001,train/zero_boundary_037.png
6月17日09_00_6月17日16_00,zero_boundary_038,train,train/zero_boundary_038.csv,6b4a7b64a3c2995644620356939b650ba0d7eeb6d5998afa24eff3157051b30a,21092,21091.0,0.0,750.691,264.5907713412083,-37.53455,788.22555,train/zero_boundary_038.png
6月26日08_00_6月26日13_00,zero_boundary_040,train,train/zero_boundary_040.csv,306a00f173dce7bbb8473506ad2292471a996c3be6810b2a731726f716cc5f24,15541,15540.0,0.0,812.9463,323.3216886147031,-40.647315,853.593615,train/zero_boundary_040.png
6月28日08_00_6月28日15_00,zero_boundary_041,train,train/zero_boundary_041.csv,0026eae4e0323f77616a6931cf9ac20e81660f2c6afbb9a27beaf1d5221dfc1a,19652,19651.0,-87.13850872320495,1031.7937000000002,309.1677896428682,-143.0851191593652,1087.7403104361604,train/zero_boundary_041.png
6月30日05_00_6月30日11_00,zero_boundary_042,train,train/zero_boundary_042.csv,a5183dff6efa3e581aa9475daf3400da5c852ff300e76d9a85224f8feec936f2,18722,18721.0,-4.983763872774615,839.5922,364.87358551560055,-47.212562066413355,881.8209981936388,train/zero_boundary_042.png
7月3日08_00_7月3日16_00,zero_boundary_044,train,train/zero_boundary_044.csv,2389f90cdbe09870f345aece0e2b022b8286c7365221f323cc9478edfb162acb,24482,24481.0,0.0,860.7763,280.25063480214607,-43.038815,903.815115,train/zero_boundary_044.png
7月10日08_00_7月10日18_00,zero_boundary_045,train,train/zero_boundary_045.csv,9850033bbbbbfd3e1938b15760b327c32431d29c343cec69ead7c86baa38b99e,32680,32679.0,0.0,761.2289000000001,260.64608451816457,-38.061445000000006,799.2903450000001,train/zero_boundary_045.png
7月11日06_00_7月12日10_00,zero_boundary_046,train,train/zero_boundary_046.csv,70146363c67022bb192d5b1955051b86471e77f98e3c7c664acb75b9ca37fca8,97323,97322.0,-113.60036899723308,949.909,108.91847117085537,-166.77583744709472,1003.0844684498617,train/zero_boundary_046.png
7月18日08_00_7月18日12_00,zero_boundary_048,train,train/zero_boundary_048.csv,5776ff38850576bea25e16c6befdbbeb5a0a2a01bf3f8e5ff0ec328eec1595b8,8581,8580.0,0.0,810.528,315.1630002225437,-40.5264,851.0544,train/zero_boundary_048.png
7月23日12_00_7月23日15_00,zero_boundary_049,train,train/zero_boundary_049.csv,44150bf0f6cea4cef8639315895fde87d37a87f2e4cabd03365c32f490ff7082,8071,8070.0,0.0,367.802,233.181394038899,-18.3901,386.19210000000004,train/zero_boundary_049.png
7月25日08_00_7月25日17_00,zero_boundary_050,train,train/zero_boundary_050.csv,d7737029500eee0af2a72e9743c63743fc5c59d6c71cc4b86c21088a99616895,30692,30691.0,0.0,905.5203,289.9400542554262,-45.276015,950.796315,train/zero_boundary_050.png
7月26日11_00_7月26日13_00,zero_boundary_051,train,train/zero_boundary_051.csv,b3925016fd28db68fe73066888dde2976c2ce7e66af0e2a6d36efb581afb0a53,4351,4350.0,0.0,496.9818,238.72605289817713,-24.849090000000004,521.8308900000001,train/zero_boundary_051.png
7月29日14_00_7月29日17_00,zero_boundary_052,train,train/zero_boundary_052.csv,ff483096e66a05d0e45afd55e1afd13ebb6d160ac73d805d2fa49bdaf4dba2dc,7111,7110.0,0.0,694.6093,309.3396132345143,-34.730465,729.3397649999999,train/zero_boundary_052.png
7月31日08_00_7月31日11_00,zero_boundary_053,train,train/zero_boundary_053.csv,d555e1ae94a0aa9b5551e8756fb7adae4e3d40b0f902343af6a69be05701dbd9,7651,7650.0,0.0,609.885,261.67709117266384,-30.49425,640.37925,train/zero_boundary_053.png
4月2日14_00_4月2日17_00,zero_boundary_004,validation,validation/zero_boundary_004.csv,b7dc9aa303f8db2273477df184c405703b5aa5f1b6c4fc1f3f2d27002d1d3687,7289,7288.0,0.0,552.7229,288.95337476676787,-27.636145,580.3590449999999,validation/zero_boundary_004.png
4月15日08_00_4月15日17_00,zero_boundary_009,validation,validation/zero_boundary_009.csv,bb171611d2271f460457b3c83fdbe6f30def3b018013546912c35fad3bf743a0,30886,30885.0,-112.045836,403.2634,64.44534828912275,-137.81129779999998,429.02886179999996,validation/zero_boundary_009.png
4月16日08_00_4月16日19_00,zero_boundary_010,validation,validation/zero_boundary_010.csv,1f5c7a4e8516f12a2f76a5110400c9fe807129e175d173992b54fc08882f2157,37802,37801.0,-110.792993,709.4504,239.1182528685563,-151.80516265,750.46256965,validation/zero_boundary_010.png
5月9日08_00_5月9日17_00,zero_boundary_019,validation,validation/zero_boundary_019.csv,f039d2a40b37fd41575d3d95307d2d07252983285a44a756b52d81b3613be8f3,28639,28638.0,-110.833824,790.421,133.7707145397438,-155.8965652,835.4837412,validation/zero_boundary_019.png
6月4日08_00_6月4日12_00,zero_boundary_032,validation,validation/zero_boundary_032.csv,0ac31bcf72e4ae95f6415d7a7bb1b37af844a4d119eed3b0271094351dc9a468,9842,9841.0,0.0,427.785305,159.095366860611,-21.38926525,449.17457025,validation/zero_boundary_032.png
6月12日14_00_6月12日17_00,zero_boundary_036,validation,validation/zero_boundary_036.csv,e959204af1f5816123fd29aa4f62218305a1ac0e2d0f5c934559ce01bea0a568,6662,6661.0,0.0,1048.0427,568.6325630565312,-52.402135,1100.444835,validation/zero_boundary_036.png
7月2日14_00_7月2日18_00,zero_boundary_043,validation,validation/zero_boundary_043.csv,7af7b2cd01ed2d69eb14a6ad7829252b31926b5728cd5cc04066afac9b138df4,11762,11761.0,0.0,717.938,252.05170295526634,-35.8969,753.8349,validation/zero_boundary_043.png
7月15日14_00_7月15日16_00,zero_boundary_047,validation,validation/zero_boundary_047.csv,2514ddaeae6e73e798951df746a85805801ac76ddad03e411a86258c60eb1a65,5881,5880.0,0.0,792.3338,411.67213228516977,-39.616690000000006,831.95049,validation/zero_boundary_047.png
3月26日14_00_3月26日16_00,zero_boundary_001,test,test/zero_boundary_001.csv,2914c0d3dc3faaa5e82b35ceabf5a595d96ae30536a9c4225fa74ff1717f1f72,7038,7037.0,0.0,489.3527,215.08272666504286,-24.467635,513.820335,test/zero_boundary_001.png
3月29日08_00_3月29日15_00,zero_boundary_003,test,test/zero_boundary_003.csv,e49273bec76896e75a279d9345748fb44181416cfe3b62aa08f74b042c9823d9,21481,21480.0,0.0,662.3302,295.55442549015396,-33.11651,695.4467099999999,test/zero_boundary_003.png
4月18日12_00_4月18日18_00,zero_boundary_012,test,test/zero_boundary_012.csv,0a9b9e18736b2e37c77a2d798c899429740b03c75e26d6a1fc1c82129ed10625,17874,17873.0,0.0,960.9873,333.24486899417036,-48.049365,1009.036665,test/zero_boundary_012.png
5月8日08_00_5月8日17_00,zero_boundary_018,test,test/zero_boundary_018.csv,b3e69067a995dbce228b4d4511597a905980268607c3deab6f8e7f62b4e5df46,27311,27310.0,0.0,689.8862,234.535297122653,-34.494310000000006,724.3805100000001,test/zero_boundary_018.png
6月11日08_00_6月11日11_00,zero_boundary_035,test,test/zero_boundary_035.csv,7a37a139e766f05dc7fd20da7af6f054f96fa493e22a2ab037e6468282ed22de,9301,9300.0,0.0,690.5201999999999,348.8834133462818,-34.52601,725.04621,test/zero_boundary_035.png
