parent,sample_id,relative_path,split,point_count_1s,start_timestamp,end_timestamp,duration_s,sha256
5月8日08_00_5月8日17_00,zero_boundary_018,test/zero_boundary_018.csv,test,27311,2024-05-08T08:39:04+08:00,2024-05-08T16:14:14+08:00,27310.0,b3e69067a995dbce228b4d4511597a905980268607c3deab6f8e7f62b4e5df46
5月9日08_00_5月9日17_00,zero_boundary_019,validation/zero_boundary_019.csv,validation,28639,2024-05-09T08:13:38+08:00,2024-05-09T16:10:56+08:00,28638.0,f039d2a40b37fd41575d3d95307d2d07252983285a44a756b52d81b3613be8f3
5月10日08_00_5月10日10_00,zero_boundary_020,train/zero_boundary_020.csv,train,3559,2024-05-10T08:23:42+08:00,2024-05-10T09:23:00+08:00,3558.0,0bc11ff9d8ed202552921c87c81807f83e589f6197ffce5aa498b83b38b6998e
5月11日08_00_5月11日11_00,zero_boundary_021,train/zero_boundary_021.csv,train,6997,2024-05-11T08:23:16+08:00,2024-05-11T10:19:52+08:00,6996.0,3ace321c01bf6add94f8bffa55f635b9ce0811e18fbf1574a661ac1daec128b2
5月13日08_00_5月13日11_00,zero_boundary_022,train/zero_boundary_022.csv,train,5491,2024-05-13T08:52:21+08:00,2024-05-13T10:23:51+08:00,5490.0,a36215e56aff729f381e44225a253ef7d796684502c79e847021d3a0562eb71a
5月27日08_00_5月27日19_00,zero_boundary_029,train/zero_boundary_029.csv,train,35612,2024-05-27T08:12:51+08:00,2024-05-27T18:06:22+08:00,35611.0,936bf4264781fc3f83c12769f24a325fe3f6366d07d0aea0060473bd8fc32208
6月4日08_00_6月4日12_00,zero_boundary_032,validation/zero_boundary_032.csv,validation,9842,2024-06-04T08:37:12+08:00,2024-06-04T11:21:13+08:00,9841.0,0ac31bcf72e4ae95f6415d7a7bb1b37af844a4d119eed3b0271094351dc9a468
6月5日08_00_6月5日19_00,zero_boundary_033,train/zero_boundary_033.csv,train,35821,2024-06-05T08:08:15+08:00,2024-06-05T18:05:15+08:00,35820.0,f3d44ba128ea425e8f2367d7a4ff78f05c6def0b2134cb7103723cb7291e6160
6月7日00_00_6月7日24_00,zero_boundary_034,train/zero_boundary_034.csv,train,49424,2024-06-07T01:50:06+08:00,2024-06-07T15:33:49+08:00,49423.0,d5e09dec053e6d298759d5e1d13f6b5c574f83d8182073105cb83d3674260ccd
6月11日08_00_6月11日11_00,zero_boundary_035,test/zero_boundary_035.csv,test,9301,2024-06-11T08:11:01+08:00,2024-06-11T10:46:01+08:00,9300.0,7a37a139e766f05dc7fd20da7af6f054f96fa493e22a2ab037e6468282ed22de
6月12日14_00_6月12日17_00,zero_boundary_036,validation/zero_boundary_036.csv,validation,6662,2024-06-12T14:30:35+08:00,2024-06-12T16:21:36+08:00,6661.0,e959204af1f5816123fd29aa4f62218305a1ac0e2d0f5c934559ce01bea0a568
6月14日08_00_6月15日18_00,zero_boundary_037,train/zero_boundary_037.csv,train,115296,2024-06-14T09:04:44+08:00,2024-06-15T17:06:19+08:00,115295.0,f8dddf12473d1bab2827aef94c9ad87ccfa9aef61fb2b7af7940bc64301e6d0d
6月17日09_00_6月17日16_00,zero_boundary_038,train/zero_boundary_038.csv,train,21092,2024-06-17T09:25:56+08:00,2024-06-17T15:17:27+08:00,21091.0,6b4a7b64a3c2995644620356939b650ba0d7eeb6d5998afa24eff3157051b30a
6月26日08_00_6月26日13_00,zero_boundary_040,train/zero_boundary_040.csv,train,15541,2024-06-26T08:07:28+08:00,2024-06-26T12:26:28+08:00,15540.0,306a00f173dce7bbb8473506ad2292471a996c3be6810b2a731726f716cc5f24
6月28日08_00_6月28日15_00,zero_boundary_041,train/zero_boundary_041.csv,train,19652,2024-06-28T08:52:03+08:00,2024-06-28T14:19:34+08:00,19651.0,0026eae4e0323f77616a6931cf9ac20e81660f2c6afbb9a27beaf1d5221dfc1a
6月30日05_00_6月30日11_00,zero_boundary_042,train/zero_boundary_042.csv,train,18722,2024-06-30T05:19:40+08:00,2024-06-30T10:31:41+08:00,18721.0,a5183dff6efa3e581aa9475daf3400da5c852ff300e76d9a85224f8feec936f2
7月2日14_00_7月2日18_00,zero_boundary_043,validation/zero_boundary_043.csv,validation,11762,2024-07-02T14:19:49+08:00,2024-07-02T17:35:50+08:00,11761.0,7af7b2cd01ed2d69eb14a6ad7829252b31926b5728cd5cc04066afac9b138df4
7月3日08_00_7月3日16_00,zero_boundary_044,train/zero_boundary_044.csv,train,24482,2024-07-03T08:22:22+08:00,2024-07-03T15:10:23+08:00,24481.0,2389f90cdbe09870f345aece0e2b022b8286c7365221f323cc9478edfb162acb
7月10日08_00_7月10日18_00,zero_boundary_045,train/zero_boundary_045.csv,train,32680,2024-07-10T08:50:23+08:00,2024-07-10T17:55:02+08:00,32679.0,9850033bbbbbfd3e1938b15760b327c32431d29c343cec69ead7c86baa38b99e
7月11日06_00_7月12日10_00,zero_boundary_046,train/zero_boundary_046.csv,train,97323,2024-07-11T06:11:33+08:00,2024-07-12T09:13:35+08:00,97322.0,70146363c67022bb192d5b1955051b86471e77f98e3c7c664acb75b9ca37fca8
7月15日14_00_7月15日16_00,zero_boundary_047,validation/zero_boundary_047.csv,validation,5881,2024-07-15T14:13:13+08:00,2024-07-15T15:51:13+08:00,5880.0,2514ddaeae6e73e798951df746a85805801ac76ddad03e411a86258c60eb1a65
7月18日08_00_7月18日12_00,zero_boundary_048,train/zero_boundary_048.csv,train,8581,2024-07-18T08:39:51+08:00,2024-07-18T11:02:51+08:00,8580.0,5776ff38850576bea25e16c6befdbbeb5a0a2a01bf3f8e5ff0ec328eec1595b8
7月23日12_00_7月23日15_00,zero_boundary_049,train/zero_boundary_049.csv,train,8071,2024-07-23T12:16:31+08:00,2024-07-23T14:31:01+08:00,8070.0,44150bf0f6cea4cef8639315895fde87d37a87f2e4cabd03365c32f490ff7082
7月25日08_00_7月25日17_00,zero_boundary_050,train/zero_boundary_050.csv,train,30692,2024-07-25T08:17:05+08:00,2024-07-25T16:48:36+08:00,30691.0,d7737029500eee0af2a72e9743c63743fc5c59d6c71cc4b86c21088a99616895
7月26日11_00_7月26日13_00,zero_boundary_051,train/zero_boundary_051.csv,train,4351,2024-07-26T11:06:07+08:00,2024-07-26T12:18:37+08:00,4350.0,b3925016fd28db68fe73066888dde2976c2ce7e66af0e2a6d36efb581afb0a53
7月29日14_00_7月29日17_00,zero_boundary_052,train/zero_boundary_052.csv,train,7111,2024-07-29T14:20:43+08:00,2024-07-29T16:19:13+08:00,7110.0,ff483096e66a05d0e45afd55e1afd13ebb6d160ac73d805d2fa49bdaf4dba2dc
7月31日08_00_7月31日11_00,zero_boundary_053,train/zero_boundary_053.csv,train,7651,2024-07-31T08:25:17+08:00,2024-07-31T10:32:47+08:00,7650.0,d555e1ae94a0aa9b5551e8756fb7adae4e3d40b0f902343af6a69be05701dbd9
