parent_id,parent,chronological_index,split,split_reason,original_chronological_split,source_points,formal_sample_count,formal_source_points,stress_source_points,excluded_source_points,start_time,end_time
parent_012,4月15日08_00_4月15日17_00,12,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,1045,2,467,0,578,2024-04-15 08:00:08,2024-04-15 16:59:39
parent_013,4月16日08_00_4月16日19_00,13,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,1284,3,769,0,515,2024-04-16 08:00:10,2024-04-16 18:59:40
parent_014,4月17日07_00_4月17日17_00,14,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,948,2,498,0,450,2024-04-17 09:00:11,2024-04-17 16:59:41
parent_015,4月18日12_00_4月18日18_00,15,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,708,2,568,0,140,2024-04-18 12:00:13,2024-04-18 17:59:43
parent_016,4月21日08_00_4月21日16_00,16,validation,validation: remaining independent parent with complete feasible natural operation,train,949,1,255,0,694,2024-04-21 08:00:18,2024-04-21 15:59:48
parent_017,4月22日14_00_4月22日17_00,17,test,test raw-feature representative order 3; complete natural and independently feasible,train,348,1,295,0,53,2024-04-22 14:00:20,2024-04-22 16:59:50
parent_018,4月23日13_00_4月23日18_00,18,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,590,2,564,0,26,2024-04-23 13:05:22,2024-04-23 17:59:52
parent_019,4月24日07_00_4月24日17_00,19,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,1188,3,837,0,351,2024-04-24 07:00:23,2024-04-24 16:59:54
parent_020,4月25日08_00_4月25日18_00,20,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,1152,5,630,0,522,2024-04-25 08:00:26,2024-04-25 17:59:57
parent_021,4月28日08_00_4月28日12_00,21,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,456,1,318,0,138,2024-04-28 08:00:04,2024-04-28 11:59:35
parent_022,4月29日08_00_4月29日18_00,22,validation,validation: remaining independent parent with complete feasible natural operation,train,1184,1,275,0,909,2024-04-29 08:00:07,2024-04-29 17:58:08
parent_023,4月30日08_00_4月30日15_00,23,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,825,2,458,0,367,2024-04-30 08:00:10,2024-04-30 14:59:41
parent_024,5月7日08_00_5月7日18_00,24,test,test raw-feature representative order 6; complete natural and independently feasible,train,1174,1,28,0,1146,2024-05-07 08:00:00,2024-05-07 17:59:31
parent_025,5月8日08_00_5月8日17_00,25,test,test raw-feature representative order 7; complete natural and independently feasible,train,1050,1,233,0,817,2024-05-08 08:00:04,2024-05-08 16:59:36
parent_026,5月9日08_00_5月9日17_00,26,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,1055,5,457,0,598,2024-05-09 08:00:07,2024-05-09 16:59:38
parent_027,5月10日08_00_5月10日10_00,27,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,228,1,98,0,130,2024-05-10 08:00:11,2024-05-10 09:59:42
parent_028,5月11日08_00_5月11日11_00,28,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,347,1,190,0,157,2024-05-11 08:00:16,2024-05-11 10:59:46
parent_029,5月13日08_00_5月13日11_00,29,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,334,1,158,0,176,2024-05-13 08:00:20,2024-05-13 10:59:51
parent_030,5月14日12_00_5月14日19_00,30,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,816,2,445,0,371,2024-05-14 12:00:23,2024-05-14 18:59:53
parent_031,5月15日08_00_5月15日17_00,31,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,1055,5,602,0,453,2024-05-15 08:00:24,2024-05-15 16:59:55
parent_032,5月17日08_00_5月17日18_00,32,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,1154,6,487,0,667,2024-05-17 08:00:28,2024-05-17 17:59:59
parent_033,5月20日08_00_5月20日18_00,33,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,1141,4,672,0,469,2024-05-20 08:00:03,2024-05-20 17:59:34
parent_034,5月21日05_00_5月21日11_00,34,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,696,2,506,0,190,2024-05-21 05:00:05,2024-05-21 10:59:35
parent_035,5月24日08_00_5月24日19_00,35,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,1298,4,611,0,687,2024-05-24 08:00:12,2024-05-24 18:59:43
parent_036,5月27日08_00_5月27日19_00,36,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,1278,2,490,0,788,2024-05-27 08:00:20,2024-05-27 18:59:51
parent_037,5月29日14_00_5月29日17_00,37,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,330,2,216,0,114,2024-05-29 14:00:26,2024-05-29 16:59:57
parent_038,5月30日05_00_5月30日17_00,38,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,1415,2,780,0,635,2024-05-30 05:00:28,2024-05-30 16:59:30
parent_039,6月4日08_00_6月4日12_00,39,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,458,2,248,0,210,2024-06-04 08:00:12,2024-06-04 11:59:42
parent_040,6月5日08_00_6月5日19_00,40,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,1273,4,271,0,1002,2024-06-05 08:00:14,2024-06-05 18:59:45
parent_041,6月6日10_00_6月6日21_00,41,test,test raw-feature representative order 2; complete natural and independently feasible,train,1241,2,500,0,741,2024-06-06 10:00:16,2024-06-06 20:53:47
parent_042,6月7日00_00_6月7日24_00,42,validation,validation: remaining independent parent with complete feasible natural operation,train,2819,1,248,0,2571,2024-06-07 00:00:18,2024-06-07 23:59:50
parent_043,6月11日08_00_6月11日11_00,43,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,334,2,273,0,61,2024-06-11 08:00:00,2024-06-11 10:59:31
parent_044,6月12日14_00_6月12日17_00,44,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,332,0,0,164,168,2024-06-12 14:00:05,2024-06-12 16:59:35
parent_045,6月13日08_00_6月13日14_00,45,test,test raw-feature representative order 5; complete natural and independently feasible,train,708,1,263,0,445,2024-06-13 08:00:08,2024-06-13 13:59:39
parent_046,6月14日08_00_6月15日18_00,46,validation,validation: remaining independent parent with complete feasible natural operation,train,3970,1,28,0,3942,2024-06-14 08:00:14,2024-06-15 17:59:49
parent_047,6月17日09_00_6月17日16_00,47,validation,validation: original chronological validation parent retained as supplementary quality-screened operation,validation,817,0,0,0,817,2024-06-17 09:00:26,2024-06-17 15:59:56
parent_048,6月20日08_00_6月20日16_00,48,validation,validation: original chronological validation parent retained as supplementary quality-screened operation,validation,937,0,0,0,937,2024-06-20 08:00:07,2024-06-20 15:59:38
parent_049,6月26日08_00_6月26日13_00,49,validation,validation: original chronological validation parent retained as supplementary quality-screened operation,validation,556,0,0,0,556,2024-06-26 08:00:28,2024-06-26 12:59:58
parent_050,6月28日08_00_6月28日15_00,50,validation,validation: original chronological validation parent retained as supplementary quality-screened operation,validation,815,0,0,0,815,2024-06-28 08:00:02,2024-06-28 14:59:34
parent_051,6月30日05_00_6月30日11_00,51,validation,validation: original chronological validation parent retained as supplementary quality-screened operation,validation,697,0,0,0,697,2024-06-30 05:00:09,2024-06-30 10:59:40
parent_052,7月2日14_00_7月2日18_00,52,validation,validation: original chronological validation parent retained as supplementary quality-screened operation,validation,452,0,0,0,452,2024-07-02 14:00:18,2024-07-02 17:59:50
parent_053,7月3日08_00_7月3日16_00,53,validation,validation: original chronological validation parent retained as supplementary quality-screened operation,validation,935,0,0,0,935,2024-07-03 08:00:22,2024-07-03 15:59:53
parent_054,7月9日08_00_7月9日16_00,54,test,test raw-feature representative order 1; complete natural and independently feasible,validation,935,1,223,0,712,2024-07-09 08:00:18,2024-07-09 15:53:20
parent_055,7月10日08_00_7月10日18_00,55,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,validation,1174,6,638,0,536,2024-07-10 08:00:23,2024-07-10 17:59:32
parent_056,7月11日06_00_7月12日10_00,56,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,validation,3326,4,566,0,2760,2024-07-11 06:00:03,2024-07-12 09:59:35
parent_057,7月15日14_00_7月15日16_00,57,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,validation,218,1,172,0,46,2024-07-15 14:00:13,2024-07-15 15:59:43
parent_058,7月18日08_00_7月18日12_00,58,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,validation,455,1,260,0,195,2024-07-18 08:00:20,2024-07-18 11:59:51
parent_059,7月19日07_00_7月19日09_00,59,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,validation,229,1,170,0,59,2024-07-19 07:00:22,2024-07-19 08:59:52
parent_060,7月22日08_00_7月22日11_00,60,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,test,344,1,243,0,101,2024-07-22 08:00:28,2024-07-22 10:57:58
parent_061,7月23日12_00_7月23日15_00,61,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,test,335,1,237,0,98,2024-07-23 12:00:01,2024-07-23 14:59:31
parent_062,7月24日14_00_7月24日17_00,62,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,test,338,2,275,0,63,2024-07-24 14:00:03,2024-07-24 16:58:03
parent_063,7月25日08_00_7月25日17_00,63,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,test,1053,4,626,0,427,2024-07-25 08:00:04,2024-07-25 16:59:35
parent_064,7月26日11_00_7月26日13_00,64,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,test,215,1,118,0,97,2024-07-26 11:00:07,2024-07-26 12:59:37
parent_065,7月29日14_00_7月29日17_00,65,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,test,334,1,211,0,123,2024-07-29 14:00:13,2024-07-29 16:59:43
parent_066,7月31日08_00_7月31日11_00,66,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,test,335,1,222,0,113,2024-07-31 08:00:17,2024-07-31 10:59:47
