legacy_segment_id,parent,new_sample_id,new_split,use,overlap_start,overlap_end
operating_segment_0077,5月20日08_00_5月20日18_00,,excluded,post-selection provenance only,,
operating_segment_0078,5月20日08_00_5月20日18_00,,excluded,post-selection provenance only,,
operating_segment_0079,5月20日08_00_5月20日18_00,,excluded,post-selection provenance only,,
operating_segment_0080,5月20日08_00_5月20日18_00,,excluded,post-selection provenance only,,
operating_segment_0081,5月20日08_00_5月20日18_00,,excluded,post-selection provenance only,,
operating_segment_0082,5月20日08_00_5月20日18_00,,excluded,post-selection provenance only,,
operating_segment_0083,5月20日08_00_5月20日18_00,,excluded,post-selection provenance only,,
operating_segment_0084,5月21日05_00_5月21日11_00,,excluded,post-selection provenance only,,
operating_segment_0085,5月21日05_00_5月21日11_00,,excluded,post-selection provenance only,,
operating_segment_0086,5月24日08_00_5月24日19_00,,excluded,post-selection provenance only,,
operating_segment_0087,5月24日08_00_5月24日19_00,,excluded,post-selection provenance only,,
operating_segment_0088,5月24日08_00_5月24日19_00,,excluded,post-selection provenance only,,
operating_segment_0089,5月24日08_00_5月24日19_00,,excluded,post-selection provenance only,,
operating_segment_0090,5月24日08_00_5月24日19_00,,excluded,post-selection provenance only,,
operating_segment_0091,5月24日08_00_5月24日19_00,,excluded,post-selection provenance only,,
operating_segment_0092,5月24日08_00_5月24日19_00,,excluded,post-selection provenance only,,
operating_segment_0093,5月24日08_00_5月24日19_00,,excluded,post-selection provenance only,,
operating_segment_0094,5月24日08_00_5月24日19_00,,excluded,post-selection provenance only,,
operating_segment_0095,5月24日08_00_5月24日19_00,,excluded,post-selection provenance only,,
operating_segment_0096,5月24日08_00_5月24日19_00,,excluded,post-selection provenance only,,
operating_segment_0097,5月24日08_00_5月24日19_00,,excluded,post-selection provenance only,,
operating_segment_0098,5月24日08_00_5月24日19_00,,excluded,post-selection provenance only,,
operating_segment_0099,5月24日08_00_5月24日19_00,,excluded,post-selection provenance only,,
operating_segment_0100,5月27日08_00_5月27日19_00,train_parent_036_01,train,"post-selection provenance only, not selection input",2024-05-27 08:18:50,2024-05-27 10:37:51
operating_segment_0101,5月27日08_00_5月27日19_00,train_parent_036_01,train,"post-selection provenance only, not selection input",2024-05-27 10:38:51,2024-05-27 11:04:21
operating_segment_0102,5月27日08_00_5月27日19_00,,excluded,post-selection provenance only,,
operating_segment_0103,5月27日08_00_5月27日19_00,,excluded,post-selection provenance only,,
operating_segment_0104,5月29日14_00_5月29日17_00,,excluded,post-selection provenance only,,
operating_segment_0105,5月29日14_00_5月29日17_00,,excluded,post-selection provenance only,,
operating_segment_0106,5月29日14_00_5月29日17_00,,excluded,post-selection provenance only,,
operating_segment_0107,5月29日14_00_5月29日17_00,,excluded,post-selection provenance only,,
operating_segment_0108,5月29日14_00_5月29日17_00,,excluded,post-selection provenance only,,
operating_segment_0109,5月30日05_00_5月30日17_00,,excluded,post-selection provenance only,,
operating_segment_0110,5月30日05_00_5月30日17_00,,excluded,post-selection provenance only,,
operating_segment_0111,5月30日05_00_5月30日17_00,,excluded,post-selection provenance only,,
operating_segment_0112,5月30日05_00_5月30日17_00,,excluded,post-selection provenance only,,
operating_segment_0113,5月30日05_00_5月30日17_00,,excluded,post-selection provenance only,,
operating_segment_0114,5月30日05_00_5月30日17_00,,excluded,post-selection provenance only,,
operating_segment_0115,5月30日05_00_5月30日17_00,,excluded,post-selection provenance only,,
operating_segment_0116,5月30日05_00_5月30日17_00,,excluded,post-selection provenance only,,
operating_segment_0117,5月30日05_00_5月30日17_00,,excluded,post-selection provenance only,,
operating_segment_0118,5月30日05_00_5月30日17_00,,excluded,post-selection provenance only,,
operating_segment_0119,5月30日05_00_5月30日17_00,,excluded,post-selection provenance only,,
operating_segment_0120,5月30日05_00_5月30日17_00,,excluded,post-selection provenance only,,
operating_segment_0121,6月4日08_00_6月4日12_00,,excluded,post-selection provenance only,,
operating_segment_0122,6月5日08_00_6月5日19_00,,excluded,post-selection provenance only,,
operating_segment_0124,6月5日08_00_6月5日19_00,,excluded,post-selection provenance only,,
operating_segment_0125,6月6日10_00_6月6日21_00,test_parent_041_01,test,"post-selection provenance only, not selection input",2024-06-06 11:00:47,2024-06-06 13:12:17
operating_segment_0125,6月6日10_00_6月6日21_00,test_parent_041_02,test,"post-selection provenance only, not selection input",2024-06-06 15:38:17,2024-06-06 17:35:47
operating_segment_0126,6月6日10_00_6月6日21_00,,excluded,post-selection provenance only,,
operating_segment_0127,6月6日10_00_6月6日21_00,,excluded,post-selection provenance only,,
operating_segment_0128,6月6日10_00_6月6日21_00,,excluded,post-selection provenance only,,
operating_segment_0129,6月6日10_00_6月6日21_00,,excluded,post-selection provenance only,,
operating_segment_0130,6月6日10_00_6月6日21_00,,excluded,post-selection provenance only,,
operating_segment_0131,6月7日00_00_6月7日24_00,,excluded,post-selection provenance only,,
operating_segment_0132,6月7日00_00_6月7日24_00,validation_parent_042_01,validation,"post-selection provenance only, not selection input",2024-06-07 09:11:48,2024-06-07 09:35:48
operating_segment_0133,6月7日00_00_6月7日24_00,validation_parent_042_01,validation,"post-selection provenance only, not selection input",2024-06-07 09:36:48,2024-06-07 11:15:18
operating_segment_0134,6月7日00_00_6月7日24_00,,excluded,post-selection provenance only,,
operating_segment_0135,6月11日08_00_6月11日11_00,,excluded,post-selection provenance only,,
operating_segment_0136,6月12日14_00_6月12日17_00,,excluded,post-selection provenance only,,
operating_segment_0137,6月12日14_00_6月12日17_00,,excluded,post-selection provenance only,,
operating_segment_0138,6月13日08_00_6月13日14_00,,excluded,post-selection provenance only,,
operating_segment_0139,6月13日08_00_6月13日14_00,test_parent_045_01,test,"post-selection provenance only, not selection input",2024-06-13 11:32:39,2024-06-13 13:41:09
operating_segment_0140,6月14日08_00_6月15日18_00,,excluded,post-selection provenance only,,
operating_segment_0141,6月14日08_00_6月15日18_00,,excluded,post-selection provenance only,,
operating_segment_0142,6月14日08_00_6月15日18_00,validation_parent_046_01,validation,"post-selection provenance only, not selection input",2024-06-15 00:12:16,2024-06-15 00:25:46
operating_segment_0143,6月14日08_00_6月15日18_00,,excluded,post-selection provenance only,,
operating_segment_0144,6月14日08_00_6月15日18_00,,excluded,post-selection provenance only,,
operating_segment_0145,6月14日08_00_6月15日18_00,,excluded,post-selection provenance only,,
operating_segment_0146,6月17日09_00_6月17日16_00,,excluded,post-selection provenance only,,
operating_segment_0147,6月17日09_00_6月17日16_00,,excluded,post-selection provenance only,,
operating_segment_0148,6月20日08_00_6月20日16_00,,excluded,post-selection provenance only,,
operating_segment_0149,6月20日08_00_6月20日16_00,,excluded,post-selection provenance only,,
operating_segment_0150,6月26日08_00_6月26日13_00,,excluded,post-selection provenance only,,
operating_segment_0151,6月26日08_00_6月26日13_00,,excluded,post-selection provenance only,,
operating_segment_0152,6月28日08_00_6月28日15_00,,excluded,post-selection provenance only,,
operating_segment_0153,6月30日05_00_6月30日11_00,,excluded,post-selection provenance only,,
operating_segment_0154,6月30日05_00_6月30日11_00,,excluded,post-selection provenance only,,
operating_segment_0155,6月30日05_00_6月30日11_00,,excluded,post-selection provenance only,,
operating_segment_0156,7月2日14_00_7月2日18_00,,excluded,post-selection provenance only,,
operating_segment_0157,7月3日08_00_7月3日16_00,,excluded,post-selection provenance only,,
operating_segment_0158,7月3日08_00_7月3日16_00,,excluded,post-selection provenance only,,
operating_segment_0159,7月9日08_00_7月9日16_00,,excluded,post-selection provenance only,,
operating_segment_0160,7月9日08_00_7月9日16_00,test_parent_054_01,test,"post-selection provenance only, not selection input",2024-07-09 14:02:20,2024-07-09 15:48:50
operating_segment_0161,7月10日08_00_7月10日18_00,,excluded,post-selection provenance only,,
operating_segment_0162,7月11日06_00_7月12日10_00,train_parent_056_01,train,"post-selection provenance only, not selection input",2024-07-11 12:35:03,2024-07-11 13:40:03
operating_segment_0163,7月11日06_00_7月12日10_00,,excluded,post-selection provenance only,,
operating_segment_0164,7月11日06_00_7月12日10_00,,excluded,post-selection provenance only,,
operating_segment_0165,7月11日06_00_7月12日10_00,,excluded,post-selection provenance only,,
operating_segment_0166,7月15日14_00_7月15日16_00,train_parent_057_01,train,"post-selection provenance only, not selection input",2024-07-15 14:19:13,2024-07-15 15:44:43
operating_segment_0167,7月18日08_00_7月18日12_00,train_parent_058_01,train,"post-selection provenance only, not selection input",2024-07-18 08:46:50,2024-07-18 10:56:20
operating_segment_0168,7月19日07_00_7月19日09_00,train_parent_059_01,train,"post-selection provenance only, not selection input",2024-07-19 07:35:22,2024-07-19 08:59:52
operating_segment_0169,7月22日08_00_7月22日11_00,train_parent_060_01,train,"post-selection provenance only, not selection input",2024-07-22 08:56:58,2024-07-22 10:57:58
operating_segment_0170,7月23日12_00_7月23日15_00,train_parent_061_01,train,"post-selection provenance only, not selection input",2024-07-23 12:24:01,2024-07-23 14:22:01
operating_segment_0171,7月24日14_00_7月24日17_00,,excluded,post-selection provenance only,,
operating_segment_0172,7月24日14_00_7月24日17_00,,excluded,post-selection provenance only,,
operating_segment_0173,7月25日08_00_7月25日17_00,,excluded,post-selection provenance only,,
operating_segment_0174,7月25日08_00_7月25日17_00,,excluded,post-selection provenance only,,
operating_segment_0175,7月26日11_00_7月26日13_00,,excluded,post-selection provenance only,,
operating_segment_0176,7月26日11_00_7月26日13_00,,excluded,post-selection provenance only,,
operating_segment_0177,7月29日14_00_7月29日17_00,train_parent_065_01,train,"post-selection provenance only, not selection input",2024-07-29 14:27:13,2024-07-29 16:12:13
operating_segment_0178,7月31日08_00_7月31日11_00,train_parent_066_01,train,"post-selection provenance only, not selection input",2024-07-31 08:35:17,2024-07-31 10:25:47
