sample_id,parent_id,parent,assigned_split,split,relative_path,start_time,end_time,source_points_30s,natural_complete,start_boundary,end_boundary,inclusion_reason,start_speed_kn,end_speed_kn,max_speed_kn,measured_fc_zero_fraction,short_stop_count,stationary_duration_s,sailing_duration_s,alignment_repair_channel_count,alignment_repaired_power_points,onboard_charging_point_count,onboard_charging_duration_s,measured_start_soc_pct,measured_end_soc_pct,boundary_load_nonzero_reason,physical_feasibility,qa_plot,duration_s,point_count_1s,energy_kwh,mean_load_kw,median_load_kw,p90_load_kw,p95_load_kw,p99_load_kw,max_load_kw,start_load_kw,end_load_kw,above600_duration_s,above600_load_energy_kwh,above600_deficit_energy_kwh,low_load_duration_s,medium_load_duration_s,high_load_duration_s,delta_mean_kw_per_s,delta_std_kw_per_s,delta_abs_mean_kw_per_s,delta_abs_p90_kw_per_s,delta_abs_p95_kw_per_s,delta_abs_p99_kw_per_s,delta_abs_max_kw_per_s,difficulty_descriptor
validation_parent_006_01,parent_006,4月2日14_00_4月2日17_00,validation,validation,validation/validation_parent_006_01.csv,2024-04-02 14:28:13,2024-04-02 16:19:13,223,True,departure_after_long_stop,arrival_before_long_stop,complete_natural_voyage,0,0,11.03,0.421524663677,0,510,6150,1115,223,15,450,97.6666666667,74.7333333333,,feasible,,6660,6661,581.063427468,314.088339172,363.866343426,486.963916321,492.656110368,525.302551824,552.7229,36.46695,30.613727,0,0,0,1670,3003,1987,-0.000878862312312,2.1989330068,0.866867748498,2.20819781865,4.07842235946,11.0055462963,19.1367295354,not_test
train_parent_007_01,parent_007,4月3日08_00_4月3日11_00,train,train,train/train_parent_007_01.csv,2024-04-03 08:26:44,2024-04-03 08:45:14,38,False,source_time_gap,ambiguous_external_supply,quality_verified_parent_window_operation,0,1.06666666667,10.1,0.921052631579,0,150,960,88,2,0,0,90.7666666667,87.0416666667,,feasible,,1110,1111,68.5319516491,222.265789132,174.929170251,385.14758627,388.720619446,402.581393819,403.7642,42.34238,77.1678,0,0,0,567,521,22,0.0313742522523,1.66018142962,0.817664954955,1.66106214066,2.73621943691,9.31128386772,10.4944522,not_test
train_parent_007_02,parent_007,4月3日08_00_4月3日11_00,train,train,train/train_parent_007_02.csv,2024-04-03 08:48:14,2024-04-03 09:14:44,54,False,ambiguous_external_supply,ambiguous_external_supply,quality_verified_parent_window_operation,0.65,1.9,11,0,0,0,1590,120,2,8,240,87.1583333333,80.3416666667,,feasible,,1590,1591,222.48555945,503.740889321,596.744060444,608.321508111,618.86963604,629.604237164,629.9399,200.1961,152.9407,624,105.12547966,1.12547966043,219,65,1306,-0.0297203773585,2.83503299341,0.853316988679,1.28288990541,3.96978722963,17.5182817474,24.9732901661,not_test
train_parent_007_03,parent_007,4月3日08_00_4月3日11_00,train,train,train/train_parent_007_03.csv,2024-04-03 09:24:14,2024-04-03 09:44:44,42,False,ambiguous_external_supply,ambiguous_external_supply,quality_verified_parent_window_operation,0.266666666667,1.9,10.56,0,0,0,1230,118,6,9,270,81.225,79.0916666667,,feasible,,1230,1231,137.43293424,402.242734362,467.062308634,527.291009019,535.527702102,576.614575511,589.7065,420.8655,83.9076,0,0,0,237,142,851,-0.273949512195,3.02678932202,1.55833127805,4.63651312296,6.63963767394,12.8828401778,14.2274630044,not_test
train_parent_007_04,parent_007,4月3日08_00_4月3日11_00,train,train,train/train_parent_007_04.csv,2024-04-03 09:51:14,2024-04-03 10:54:44,128,False,ambiguous_external_supply,confirmed_shore,quality_verified_parent_window_operation,4.55789473684,0,11.74,0.546875,0,330,3480,664,65,0,0,79.8916666667,67.0416666667,,feasible,,3810,3811,355.497794709,335.903428072,439.778427585,502.758514926,505.992003834,548.182438204,646.8333,646.8333,17.919057,27,4.71895549558,0.21895549558,1186,592,2032,-0.165069355118,1.65171419767,0.787853311024,2.20124433272,4.05890381231,7.46521639909,10.2681534876,not_test
train_parent_008_01,parent_008,4月7日08_00_4月7日12_00,train,train,train/train_parent_008_01.csv,2024-04-07 08:53:54,2024-04-07 10:08:54,151,False,source_time_gap,ambiguous_external_supply,quality_verified_parent_window_operation,0,1.825,10.88,0.443708609272,0,180,4320,746,149,7,210,96.2166666667,79.5916666667,,feasible,,4500,4501,414.167152923,331.333722339,377.853334676,467.415476338,472.13443962,552.201486741,554.415,36.33825,102.608559,0,0,0,893,2546,1061,0.0147267353333,2.06973032843,0.86571811,2.3098715806,3.76334193473,9.18605988752,20.6227950521,not_test
train_parent_008_02,parent_008,4月7日08_00_4月7日12_00,train,train,train/train_parent_008_02.csv,2024-04-07 11:04:24,2024-04-07 11:14:54,22,False,ambiguous_external_supply,ambiguous_external_supply,quality_verified_parent_window_operation,0.1,1.81428571429,4.295,0,0,30,600,56,2,17,510,82.1,82.3666666667,,feasible,,630,631,24.342819794,139.101827395,116.212945044,275.170233414,284.917009878,289.293105042,289.53367,198.257438,65.78968,0,0,0,492,138,0,-0.21026628254,1.25554236336,0.834408733333,2.13161994548,3.16013471388,4.13510506074,4.17479209728,not_test
train_parent_008_03,parent_008,4月7日08_00_4月7日12_00,train,train,train/train_parent_008_03.csv,2024-04-07 11:18:24,2024-04-07 11:58:24,81,False,ambiguous_external_supply,arrival_before_long_stop,quality_verified_parent_window_operation,1.31,0,13.4,0.172839506173,0,150,2250,413,41,7,210,82.5083333333,71.1416666667,,feasible,,2400,2401,347.703765634,521.555648452,760.762772772,791.014089458,793.092308003,798.435542354,800.057,247.234598,30.4453,1484,319.574689135,72.2413558016,751,126,1523,-0.0903288741667,2.22586381733,0.779401370833,0.911862755806,5.12558852822,10.2844620869,13.5178125272,not_test
train_parent_009_01,parent_009,4月8日08_00_4月8日12_00,train,train,train/train_parent_009_01.csv,2024-04-08 08:50:56,2024-04-08 11:33:56,327,False,departure_after_long_stop,source_time_gap,quality_verified_parent_window_operation,0,0,11.5,1,2,660,9120,1795,169,0,0,92.4666666667,72.3083333333,,feasible,,9780,9781,363.178039885,133.685168056,151.876915081,170.967338536,250.950080479,388.74668967,573.5695,26.04156,30.250075,0,0,0,9036,657,87,0.000430318507157,1.66336542917,0.693870389468,2.30232361051,3.90952863935,7.49726618196,16.4042962815,not_test
train_parent_010_01,parent_010,4月9日08_00_4月9日11_00,train,train,train/train_parent_010_01.csv,2024-04-09 08:16:58,2024-04-09 10:31:58,271,False,source_time_gap,arrival_before_long_stop,quality_verified_parent_window_operation,0,0,10.965,1,1,420,7680,2621,271,0,0,93.525,56.6916666667,,feasible,,8100,8101,658.157010307,292.514226803,345.028460133,467.504324461,490.65978876,500.838815473,511.5353,36.77358,30.5251,0,0,0,2352,3785,1963,-0.000771417283951,2.03137839081,0.785632709136,2.20021838453,3.84743459856,9.97794389099,21.3626531689,not_test
test_parent_011_01,parent_011,4月12日08_00_4月12日16_00,test,test,test/test_parent_011_01.csv,2024-04-12 12:02:03,2024-04-12 12:22:03,41,True,departure_after_long_stop,arrival_before_long_stop,complete_natural_voyage,0,0.1,10.395,1,0,390,810,327,41,0,0,67.275,64.8,onboard auxiliary load under vessel-side independent supply,feasible,metadata/qa_plots/test_parent_011_01.png,1200,1201,43.8931516822,131.679455047,74.5211666082,299.43488862,416.925654223,600.831544716,612.0574,47.2344,47.38816,13,2.1958732986,0.0292066319314,961,175,64,0.000128133333333,3.66590189172,1.79793788333,4.95044613333,8.22060729445,17.9542243953,22.0678883259,faster_load_variation
train_parent_012_01,parent_012,4月15日08_00_4月15日17_00,train,train,train/train_parent_012_01.csv,2024-04-15 08:17:38,2024-04-15 10:48:38,303,False,source_time_gap,arrival_before_long_stop,quality_verified_parent_window_operation,0.08,0,11.1,1,1,630,8430,1961,220,0,0,95.725,63.2416666667,,feasible,,9060,9061,585.687828972,232.723640651,250.508124119,350.002865256,385.920576716,392.103897792,403.2634,132.7496,26.97209,0,0,0,2809,6223,28,-0.0116752218543,1.4930505387,0.590121403974,1.48290161147,2.91468975604,7.42527099368,14.1506931064,not_test
train_parent_012_02,parent_012,4月15日08_00_4月15日17_00,train,train,train/train_parent_012_02.csv,2024-04-15 15:15:08,2024-04-15 16:36:39,164,False,departure_after_long_stop,arrival_before_long_stop,quality_verified_parent_window_operation,0,0.2,9.675,1,0,360,4531,1316,164,0,0,81.9166666667,66,,feasible,,4891,4892,294.881211504,217.046076756,254.437438155,324.627174779,334.583864889,345.718204238,351.7245,71.53364,58.003842,0,0,0,1792,3099,0,-0.00276626415866,1.07470609574,0.55915895686,1.45567277924,2.14984112355,4.83165789974,9.27254766107,not_test
train_parent_013_01,parent_013,4月16日08_00_4月16日19_00,train,train,train/train_parent_013_01.csv,2024-04-16 08:26:40,2024-04-16 11:26:10,360,False,source_time_gap,unexplained_source_load_inconsistency,quality_verified_parent_window_operation,0,0,11.9,0.422222222222,2,2880,7890,1787,357,20,600,95.6083333333,73.475,,feasible,,10770,10771,810.724779636,270.99435531,362.451477497,472.760096231,479.742004512,670.610649605,677.2436,48.49491,33.874314,344,63.4774074578,6.14407412449,4312,3687,2771,-0.00135752980501,1.04635409556,0.408678168059,0.822662068587,1.69079493363,5.33264909115,12.0555703302,not_test
train_parent_013_02,parent_013,4月16日08_00_4月16日19_00,train,train,train/train_parent_013_02.csv,2024-04-16 15:10:40,2024-04-16 16:57:10,214,False,ambiguous_external_supply,ambiguous_external_supply,quality_verified_parent_window_operation,0.13,1.9,11.9,0,0,0,6390,663,48,16,480,91.4083333333,70.9416666667,,feasible,,6390,6391,1110.6746512,625.732197858,672.31940971,687.499304688,693.308475568,699.70091177,709.4504,171.18653,111.5353,5679,1064.97811919,118.478119194,309,317,5764,-0.00933509076682,1.67240827892,0.583576048513,0.986161398519,1.85778553686,8.90904197985,20.7648056408,not_test
train_parent_013_03,parent_013,4月16日08_00_4月16日19_00,train,train,train/train_parent_013_03.csv,2024-04-16 17:08:40,2024-04-16 18:45:40,195,False,ambiguous_external_supply,arrival_before_long_stop,quality_verified_parent_window_operation,2.3,0,13.7,0.0717948717949,0,210,5610,1571,191,13,390,72.9666666667,62.1583333333,,feasible,,5820,5821,775.715444244,479.82398613,592.688617189,668.75009192,673.457939778,688.429392489,703.5616,213.03538,33.80568,2850,520.097960196,45.0979601962,602,1948,3270,-0.0307954810997,1.0095217709,0.440984396564,0.829223721418,1.80883077008,5.45626882094,7.71185345528,not_test
train_parent_014_01,parent_014,4月17日07_00_4月17日17_00,train,train,train/train_parent_014_01.csv,2024-04-17 09:51:41,2024-04-17 11:55:41,249,False,source_time_gap,ambiguous_external_supply,quality_verified_parent_window_operation,0,1.9,10.95,0.0923694779116,0,60,7380,492,2,9,270,91.1583333333,69.0916666667,,feasible,,7440,7441,921.56201921,445.917106069,488.276459873,524.962024422,620.808588701,643.377465085,647.0001,61.5366,68.41081,556,96.7659247703,4.09925810363,816,256,6368,0.000923952956989,1.56479476828,0.571609280914,0.982359487295,1.76228113554,9.4109671628,14.7061847348,not_test
train_parent_014_02,parent_014,4月17日07_00_4月17日17_00,train,train,train/train_parent_014_02.csv,2024-04-17 14:05:11,2024-04-17 16:09:11,249,False,ambiguous_external_supply,arrival_before_long_stop,quality_verified_parent_window_operation,0.4,0,12.7,0.0682730923695,0,330,7110,2001,248,94,2820,69.2,64.2916666667,,feasible,,7440,7441,547.378052584,264.860348025,247.514207861,366.300212882,379.872384041,630.142495264,754.4027,216.73589,31.365572,211,37.2590991104,2.09243244371,901,6271,268,-0.0249153653226,1.96679881806,0.588026694086,0.906802364634,2.36315582866,9.63812574815,25.2344982055,not_test
train_parent_015_01,parent_015,4月18日12_00_4月18日18_00,train,train,train/train_parent_015_01.csv,2024-04-18 12:18:43,2024-04-18 15:01:43,327,False,source_time_gap,ambiguous_external_supply,quality_verified_parent_window_operation,0.557142857143,1.9,12,0.290519877676,1,2700,7080,724,49,10,300,93.8333333333,66.55,,feasible,,9780,9781,1057.75770976,389.358666168,507.500583214,654.680688486,664.163638604,785.04305301,960.9873,135.7862,134.3389,2107,395.520227364,44.3535606971,3500,217,6063,-0.000147985685072,1.81712800441,0.584816291207,1.06256145517,2.46912934872,8.98368934043,22.8823748889,not_test
train_parent_015_02,parent_015,4月18日12_00_4月18日18_00,train,train,train/train_parent_015_02.csv,2024-04-18 15:09:43,2024-04-18 17:09:43,241,False,ambiguous_external_supply,confirmed_shore,quality_verified_parent_window_operation,0.1,0,11,0.149377593361,0,330,6870,2047,211,3,90,67.5583333333,49.4333333333,,feasible,,7200,7201,572.102181777,286.051090889,273.9125465,372.086914236,375.696716875,381.428827975,388.3071,179.95494,32.857159,0,0,0,803,6397,0,-0.0204302473611,1.10861176145,0.431625151806,0.700575022222,1.45754247556,5.43824978939,11.2776016533,not_test
validation_parent_016_01,parent_016,4月21日08_00_4月21日16_00,validation,validation,validation/validation_parent_016_01.csv,2024-04-21 13:07:18,2024-04-21 15:14:18,255,True,departure_after_long_stop,arrival_before_long_stop,complete_natural_voyage,0,0.1,13,0.121568627451,0,450,7170,1654,188,34,1024,58.7583333333,52.325,,feasible,,7620,7621,612.76394091,289.494775233,311.309857147,342.195324831,381.920560656,700.55668439,734.5257,36.55756,33.47082,152,29.4761827838,4.14284945042,1035,6215,370,-0.000405083989501,1.3520589657,0.519014571129,0.958329680526,2.52397957254,7.26657484463,11.5709379369,not_test
test_parent_017_01,parent_017,4月22日14_00_4月22日17_00,test,test,test/test_parent_017_01.csv,2024-04-22 14:22:20,2024-04-22 16:49:20,295,True,departure_after_long_stop,arrival_before_long_stop,complete_natural_voyage,0,0,11,1,0,480,8340,768,29,0,0,94.1,60.3583333333,onboard auxiliary load under vessel-side independent supply,feasible,metadata/qa_plots/test_parent_017_01.png,8820,8821,621.703619139,253.75657924,244.143103074,327.67607564,410.619304614,626.957965223,630.6029,47.04247,43.26245,332,57.2896798862,1.9563465529,1892,6481,447,-0.000428573696145,1.54694782453,0.513715951474,0.897893341872,2.51339551997,7.99750604995,16.7066295363,long_duration
train_parent_018_01,parent_018,4月23日13_00_4月23日18_00,train,train,train/train_parent_018_01.csv,2024-04-23 13:05:22,2024-04-23 15:47:22,325,False,parent_record_edge,ambiguous_external_supply,quality_verified_parent_window_operation,0,1.2,11.9095238095,0.335384615385,1,2850,6870,1601,318,11,330,96.3916666667,56.1583333333,,feasible,,9720,9721,1118.20086298,414.14846777,520.461890068,685.026227156,749.565642276,768.771180052,788.7699,66.69502,155.27442,3288,617.742829315,69.7428293147,3546,212,5962,0.00911310699588,1.74156995421,0.674480270782,1.53768065185,3.0330262349,8.9811889736,16.9992612959,not_test
train_parent_018_02,parent_018,4月23日13_00_4月23日18_00,train,train,train/train_parent_018_02.csv,2024-04-23 16:00:52,2024-04-23 17:59:52,239,False,ambiguous_external_supply,parent_record_edge,quality_verified_parent_window_operation,2.23333333333,0,12.3,0.0460251046025,0,240,6900,355,23,22,630,57.7,48.3916666667,,feasible,,7140,7141,574.612416507,289.720546138,273.792318453,408.928444923,421.736641353,565.808399214,574.5729,198.966915,38.36267,0,0,0,1269,5121,750,-0.0224935917367,1.10240025662,0.474852477731,0.994225123396,2.42576250499,5.04572100539,9.75658298428,not_test
train_parent_019_01,parent_019,4月24日07_00_4月24日17_00,train,train,train/train_parent_019_01.csv,2024-04-24 07:35:23,2024-04-24 12:03:24,537,False,departure_after_long_stop,ambiguous_external_supply,quality_verified_parent_window_operation,0,1.4,10.49,0.519553072626,2,5521,10560,4399,446,31,930,94.8916666667,57.725,,feasible,,16081,16082,1172.30281978,262.439534308,184.497439174,591.073867505,602.345077168,687.396568302,706.6131,51.91975,93.24608,919,164.410504503,11.2438378366,8145,3192,4744,0.00256988557926,1.08978069632,0.415864506187,0.991563837037,1.90550939259,4.95627768386,14.3614837914,not_test
train_parent_019_02,parent_019,4月24日07_00_4月24日17_00,train,train,train/train_parent_019_02.csv,2024-04-24 12:35:54,2024-04-24 13:02:24,54,False,ambiguous_external_supply,ambiguous_external_supply,quality_verified_parent_window_operation,2.12,1.8,11.395,0,0,0,1590,270,54,21,600,61.4083333333,60.25,,feasible,,1590,1591,133.182311155,301.544855445,287.117721801,590.01905558,620.807121025,655.218505723,657.2533,94.0427,68.39074,151,26.435985899,1.26931923232,470,822,298,-0.0161333081761,3.15966008858,1.78158107925,5.23608278151,7.63719419738,11.9074841096,15.1142862203,not_test
train_parent_019_03,parent_019,4月24日07_00_4月24日17_00,train,train,train/train_parent_019_03.csv,2024-04-24 14:17:54,2024-04-24 16:20:24,246,False,departure_after_long_stop,ambiguous_external_supply,quality_verified_parent_window_operation,0,1.9,13.4,0.0650406504065,0,300,7050,570,30,21,630,58.15,46.6166666667,,feasible,,7350,7351,552.320001856,270.524082542,271.63160166,401.929004193,441.338799946,590.466655139,621.484,34.64812,76.2586,69,11.7926779645,0.292677964502,1300,5300,750,0.00566128979592,1.5140102495,0.62132007102,1.3157855037,3.31918565705,7.63484934479,13.032289459,not_test
train_parent_020_01,parent_020,4月25日08_00_4月25日18_00,train,train,train/train_parent_020_01.csv,2024-04-25 09:07:56,2024-04-25 10:03:56,113,False,departure_after_long_stop,ambiguous_external_supply,quality_verified_parent_window_operation,0,1.9,9.7,0.345132743363,0,300,3060,518,100,11,330,94.2916666667,85.175,,feasible,,3360,3361,291.046590091,311.83563224,376.159850376,452.102770459,455.635497531,462.247927175,463.9173,46.30758,122.8318,0,0,0,922,885,1553,0.0227750654762,1.25674334576,0.617413029762,1.58112938074,3.05483426883,5.40598008634,7.28611813716,not_test
train_parent_020_02,parent_020,4月25日08_00_4月25日18_00,train,train,train/train_parent_020_02.csv,2024-04-25 10:30:56,2024-04-25 11:59:26,178,False,ambiguous_external_supply,ambiguous_external_supply,quality_verified_parent_window_operation,1.69523809524,1.9,11.1,0,0,0,5310,256,13,14,420,88.5166666667,68.125,,feasible,,5310,5311,744.789246176,504.941861814,407.824715117,836.762561094,844.76808933,862.578980885,890.7584,170.91862,76.39508,1504,332.866005868,82.1993392017,445,1820,3045,-0.0178010433145,2.10077261781,0.817700957062,1.47170783799,4.19043969315,10.2730644426,21.772252209,not_test
train_parent_020_03,parent_020,4月25日08_00_4月25日18_00,train,train,train/train_parent_020_03.csv,2024-04-25 13:07:56,2024-04-25 14:45:26,196,False,ambiguous_external_supply,ambiguous_external_supply,quality_verified_parent_window_operation,3.035,1.35714285714,13.5,0,0,0,5850,817,69,10,300,73.4916666667,50.2666666667,,feasible,,5850,5851,665.104217694,409.294903197,437.660886991,498.5115537,506.013665739,618.519598843,628.2833,183.48386,93.9351,165,28.1949447275,0.694944727488,351,1729,3770,-0.0153074803419,1.23878044477,0.447574595556,0.822517035556,1.28514042595,5.64071791707,16.5729977214,not_test
train_parent_020_04,parent_020,4月25日08_00_4月25日18_00,train,train,train/train_parent_020_04.csv,2024-04-25 14:47:56,2024-04-25 14:58:26,22,False,ambiguous_external_supply,arrival_before_long_stop,quality_verified_parent_window_operation,0,0,2.1,0.727272727273,0,390,240,191,22,0,0,50.3416666667,49.6666666667,,feasible,,630,631,13.8114128309,78.9223590335,72.4868128244,109.436970908,145.497415241,169.599922265,171.005,88.2172,60.75466,0,0,0,630,0,0,-0.0435913333333,1.09258526844,0.60180615873,1.82897607677,2.48207800805,4.52350081333,4.77874537333,not_test
train_parent_020_05,parent_020,4月25日08_00_4月25日18_00,train,train,train/train_parent_020_05.csv,2024-04-25 15:38:56,2024-04-25 16:38:57,121,False,source_time_gap,ambiguous_external_supply,quality_verified_parent_window_operation,0.4,1.9,8.4,0,0,0,3601,1085,121,11,330,52.1,46.2333333333,,feasible,,3601,3602,196.965386886,196.910689473,190.660197511,247.158721202,294.132206939,299.778217248,312.311494,138.40911,92.29414,0,0,0,1955,1646,0,-0.0128061566232,0.990413748551,0.400832773119,0.736706090074,2.14092568178,4.9040631757,8.40496976201,not_test
train_parent_021_01,parent_021,4月28日08_00_4月28日12_00,train,train,train/train_parent_021_01.csv,2024-04-28 08:56:34,2024-04-28 11:35:05,318,False,source_time_gap,arrival_before_long_stop,quality_verified_parent_window_operation,0.67,0,12.9888888889,0.418238993711,0,300,9211,3023,286,26,780,95.3916666667,53.7833333333,,feasible,,9511,9512,1177.10060499,445.543284405,305.302806078,1096.21997923,1098.87438517,1102.68963785,1103.8994,162.3854,30.524424,2091,632.040259403,283.540259403,1437,5681,2393,-0.0138640496267,2.31056752745,0.520781089896,0.744355911111,1.22611091436,7.87012254064,45.8044902285,not_test
