parent,sample_id,split,relative_path,supervisory_row_count,aligned_raw_count,interpolated_gap_count,minimum_speed_kn,maximum_speed_kn,sha256
7月3日08_00_7月3日16_00,zero_boundary_044,train,train/zero_boundary_044.csv,816,655,161,0.0,13.5,815c617d7f79d0b61bbdfad2c3e5050fb2c7362ae537b42be27dbbfa655c5ca9
7月10日08_00_7月10日18_00,zero_boundary_045,train,train/zero_boundary_045.csv,1089,980,109,0.0,15.9,eb0931072bbaf1392242989f35d637f2ca9ad2ca9b586f354fa1284a392e0490
7月11日06_00_7月12日10_00,zero_boundary_046,train,train/zero_boundary_046.csv,3244,3213,31,0.0,15.4,6807e376e75508866a7d19e4855f8f127bfa82d0a9021b87cc821d854d925b7b
7月15日14_00_7月15日16_00,zero_boundary_047,validation,validation/zero_boundary_047.csv,196,173,23,0.0,16.6,8e165830c77ac88b555acf126a28fbda6c25c43da071524ff18ae045604e33b0
7月18日08_00_7月18日12_00,zero_boundary_048,train,train/zero_boundary_048.csv,286,262,24,0.0,15.3,a72ebeecd10f7f730cc0f0988301af36aa3f3bcb2c516800b33f1e88ae5c1cfe
7月23日12_00_7月23日15_00,zero_boundary_049,train,train/zero_boundary_049.csv,269,203,66,0.0,13.1,219d5f76797dfaa07d2e2e3f0773031bb64490c2d5f9b027b97e252b0730af6e
7月25日08_00_7月25日17_00,zero_boundary_050,train,train/zero_boundary_050.csv,1023,997,26,0.0,15.0,6810598b3f4f65369db06b17177c2506bdc1744fb0f23f7d8c757072ad816b4f
7月26日11_00_7月26日13_00,zero_boundary_051,train,train/zero_boundary_051.csv,145,120,25,0.0,14.4,c0de28f2eef95d8f0bae259dd8cc686752b3a93571bacc10ce2b8343cc2c5fd0
7月29日14_00_7月29日17_00,zero_boundary_052,train,train/zero_boundary_052.csv,237,213,24,0.0,12.7,45a672f374458aabf26ee9b47146cf3a94be04f5f2eec50fc8668b5c87a739b5
7月31日08_00_7月31日11_00,zero_boundary_053,train,train/zero_boundary_053.csv,255,229,26,0.0,13.0,56e7d5f3b4179bd787496617111b5b3d4fa844ec36bce0654f1d376d3c56e609
